route,page_type,first_screen_quality,hero_media_quality,palette_consistency,motion,spacing,mobile,issue_found,issue_fixed
/ograzhdeniya-i-zabory/perila-i-poruchni/,category,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ograzhdeniya-i-zabory/sekcionnye-ograzhdeniya/,category,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/shezlongi/,category,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ograzhdeniya-i-zabory/stolbiki-i-bollardy/,category,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/stoly-i-komplekty/,category,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,not-tested,none-detected,verified
/ulichnaya-mebel/ulichnoe-osveshchenie/,category,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/urny/,category,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/vazony-i-tsvetochnitsy/,category,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/veloparkovki/,category,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ograzhdeniya-i-zabory/vorota/,category,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ograzhdeniya-i-zabory/zabory/,category,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,automated-pass,none-detected,not-applicable
/ulichnaya-mebel/besedki-i-pergoly/besedka-kofe/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/besedki-i-pergoly/besedka-kub/,product,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/ulichnaya-mebel/lavochki-i-skameyki/bolshaya-skameyka-amplituda/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/navesy/ekran-s-navesom/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-liniya/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-mayak/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-prizma/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-sektor/,product,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor-vysokiy/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/kacheli/kachel-duga/,product,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/ulichnaya-mebel/kacheli/kachel-patio/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/kacheli/kachel-portal/,product,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/ulichnaya-mebel/kacheli/kachel-s-navesom/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/kacheli/kacheli-pergola/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/kacheli/kacheli-s-dlinnym-navesom/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-duo/,product,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,not-tested,none-detected,verified
/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-modul/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,automated-pass,none-detected,not-applicable
/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-zakrytaya/,product,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/ulichnaya-mebel/navesy/naves-galereya/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/navesy/naves-terra/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/veloparkovki/parkovka-dlya-samokatov-arka/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/besedki-i-pergoly/pergola-lamel/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/besedki-i-pergoly/pergola-s-lavkoy/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/shezlongi/shezlong-dyuna/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/shezlongi/shezlong-siluet/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/shezlongi/shezlong-vitok/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/shezlongi/shezlong-volna/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/malye-elementy/sidenie-kub/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/malye-elementy/sidenie-pilon/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/lavochki-i-skameyki/skamya-bulvar/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/lavochki-i-skameyki/skamya-kapsula/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/lavochki-i-skameyki/skamya-kontur/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya-so-spinkami/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/lavochki-i-skameyki/skamya-loft/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/lavochki-i-skameyki/skamya-park/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/lavochki-i-skameyki/skamya-plato/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/lavochki-i-skameyki/skamya-podium/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius-so-spinkami/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/lavochki-i-skameyki/skamya-reyka/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/lavochki-i-skameyki/skamya-skoba/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/lavochki-i-skameyki/skamya-smu1-bazovaya/,product,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/ulichnaya-mebel/lavochki-i-skameyki/skamya-volna/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/urny/stantsiya-razdelnogo-sbora/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/stoly-i-komplekty/stol-so-skamyami-orbita/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/urny/urna-blok/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/urny/urna-ellips/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/urny/urna-kolonna/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/urny/urna-layn/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/urny/urna-monolit/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/urny/urna-panel/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/urny/urna-profil/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/urny/urna-slim/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/urny/urna-vertikal/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-gorizont/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-koltso/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-kontur/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-lenta/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-oval/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-ritm/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-soft/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/veloparkovki/veloparkovka-duga/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/veloparkovki/veloparkovka-marker/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/veloparkovki/veloparkovka-pik/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/veloparkovki/veloparkovka-pilon/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/veloparkovki/veloparkovka-ramka/,product,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/vypolnennye-obekty/,projects-archive,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/,project,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/vypolnennye-obekty/gorodskie-kacheli-dlya-obshchestvennyh-territoriy/,project,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/,project,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/vypolnennye-obekty/remont-skvera-na-ulitse-gogolya/,project,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/o-nas/,company,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/kontakty/,contacts,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/vakansii/,vacancies,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/vakansii/svarshchik-metallokonstruktsiy/,vacancy,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/politika-konfidencialnosti/,privacy,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/izgotovlenie-na-zakaz/,custom-order,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/404.html,404,visual-pass,visual-pass,visual-pass,not-tested,visual-pass,automated-pass,none-detected,verified
