production_route,page_type,v2_route_or_pattern,v2_component_template,data_source,media_source,canonical_target,migration_action,dependencies,known_gaps,blocking_status
"/ograzhdeniya-i-zabory/dekorativnye-ograzhdeniya/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/dekorativnye-ograzhdeniya/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/dekorativnye-ograzhdeniya.json","src/content/product-categories/dekorativnye-ograzhdeniya.json image/gallery; child product media","/ograzhdeniya-i-zabory/dekorativnye-ograzhdeniya/","dynamic-template","Catalog V2 data layer; active section and product associations","sparse: no active products; shared honest sparse state; no usable category media; text/graphic fallback","ready"
"/ograzhdeniya-i-zabory/gazonnye-ograzhdeniya/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/gazonnye-ograzhdeniya/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/gazonnye-ograzhdeniya.json","src/content/product-categories/gazonnye-ograzhdeniya.json image/gallery; child product media","/ograzhdeniya-i-zabory/gazonnye-ograzhdeniya/","dynamic-template","Catalog V2 data layer; active section and product associations","sparse: no active products; shared honest sparse state","ready"
"/ograzhdeniya-i-zabory/kalitki/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/kalitki/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/kalitki.json","src/content/product-categories/kalitki.json image/gallery; child product media","/ograzhdeniya-i-zabory/kalitki/","dynamic-template","Catalog V2 data layer; active section and product associations","sparse: no active products; shared honest sparse state","ready"
"/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/ograzhdeniya-kontejnernyh-ploshchadok.json","src/content/product-categories/ograzhdeniya-kontejnernyh-ploshchadok.json image/gallery; child product media","/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/","dynamic-template","Catalog V2 data layer; active section and product associations","","ready"
"/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-duo/","catalog-product","/design-lab/v2/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-duo/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/konteynernaya-ploshchadka-duo.json","src/content/products/konteynernaya-ploshchadka-duo.json image/gallery","/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-duo/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","zero-media record; honest zero-media fallback","ready"
"/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-modul/","catalog-product","/design-lab/v2/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-modul/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/konteynernaya-ploshchadka-modul.json","src/content/products/konteynernaya-ploshchadka-modul.json image/gallery","/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-modul/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","zero-media record; honest zero-media fallback","ready"
"/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-zakrytaya/","catalog-product","/design-lab/v2/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-zakrytaya/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/konteynernaya-ploshchadka-zakrytaya.json","src/content/products/konteynernaya-ploshchadka-zakrytaya.json image/gallery","/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-zakrytaya/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","zero-media record; honest zero-media fallback","ready"
"/ograzhdeniya-i-zabory/perila-i-poruchni/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/perila-i-poruchni/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/perila-i-poruchni.json","src/content/product-categories/perila-i-poruchni.json image/gallery; child product media","/ograzhdeniya-i-zabory/perila-i-poruchni/","dynamic-template","Catalog V2 data layer; active section and product associations","sparse: no active products; shared honest sparse state","ready"
"/ograzhdeniya-i-zabory/sekcionnye-ograzhdeniya/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/sekcionnye-ograzhdeniya/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/sekcionnye-ograzhdeniya.json","src/content/product-categories/sekcionnye-ograzhdeniya.json image/gallery; child product media","/ograzhdeniya-i-zabory/sekcionnye-ograzhdeniya/","dynamic-template","Catalog V2 data layer; active section and product associations","sparse: no active products; shared honest sparse state","ready"
"/ograzhdeniya-i-zabory/stolbiki-i-bollardy/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/stolbiki-i-bollardy/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/stolbiki-i-bollardy.json","src/content/product-categories/stolbiki-i-bollardy.json image/gallery; child product media","/ograzhdeniya-i-zabory/stolbiki-i-bollardy/","dynamic-template","Catalog V2 data layer; active section and product associations","sparse: no active products; shared honest sparse state; no usable category media; text/graphic fallback","ready"
"/ograzhdeniya-i-zabory/vorota/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/vorota/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/vorota.json","src/content/product-categories/vorota.json image/gallery; child product media","/ograzhdeniya-i-zabory/vorota/","dynamic-template","Catalog V2 data layer; active section and product associations","sparse: no active products; shared honest sparse state","ready"
"/ograzhdeniya-i-zabory/zabory/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/zabory/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/zabory.json","src/content/product-categories/zabory.json image/gallery; child product media","/ograzhdeniya-i-zabory/zabory/","dynamic-template","Catalog V2 data layer; active section and product associations","sparse: no active products; shared honest sparse state","ready"
"/politika-konfidencialnosti/","legal","/design-lab/v2/politika-konfidencialnosti/","V2PrivacyPolicy + PracticalV2Layout","src/pages/politika-konfidencialnosti/index.astro","none","/politika-konfidencialnosti/","replace","V2 shared practical-page shell and current production data","","ready"
"/stroitelstvo-i-remonty/","direction","/design-lab/v2/stroitelstvo-i-remonty/","ProjectDirectionV2Layout + project media adapter","src/content/services/stroitelstvo.json","src/content/services/stroitelstvo.json; V2 project/media-role adapter","/stroitelstvo-i-remonty/","replace","Direction V2 adapter; project presentation data","","ready"
"/topiarii/","direction","/design-lab/v2/topiarii/","DirectionV2Layout + directionV2Data","src/content/product-sections/topiarii.json","src/content/product-sections/topiarii.json; V2 project/media-role adapter where assigned","/topiarii/","replace","Direction V2 adapter; shared gallery where present","","ready"
"/ulichnaya-mebel/","catalog-section","/design-lab/v2/ulichnaya-mebel/","CatalogSectionV2","src/content/product-sections/ulichnaya-mebel.json","src/content/product-sections/ulichnaya-mebel.json image/pageBlocks","/ulichnaya-mebel/","replace","Catalog V2 data layer; active category records","","ready"
"/ulichnaya-mebel/besedki-i-pergoly/","catalog-category","/design-lab/v2/ulichnaya-mebel/besedki-i-pergoly/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/besedki-i-pergoly.json","src/content/product-categories/besedki-i-pergoly.json image/gallery; child product media","/ulichnaya-mebel/besedki-i-pergoly/","dynamic-template","Catalog V2 data layer; active section and product associations","","ready"
"/ulichnaya-mebel/besedki-i-pergoly/besedka-kofe/","catalog-product","/design-lab/v2/ulichnaya-mebel/besedki-i-pergoly/besedka-kofe/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/besedka-kofe.json","src/content/products/besedka-kofe.json image/gallery","/ulichnaya-mebel/besedki-i-pergoly/besedka-kofe/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/besedki-i-pergoly/besedka-kub/","catalog-product","/design-lab/v2/ulichnaya-mebel/besedki-i-pergoly/besedka-kub/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/besedka-kub.json","src/content/products/besedka-kub.json image/gallery","/ulichnaya-mebel/besedki-i-pergoly/besedka-kub/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/besedki-i-pergoly/pergola-lamel/","catalog-product","/design-lab/v2/ulichnaya-mebel/besedki-i-pergoly/pergola-lamel/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/pergola-lamel.json","src/content/products/pergola-lamel.json image/gallery","/ulichnaya-mebel/besedki-i-pergoly/pergola-lamel/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/besedki-i-pergoly/pergola-s-lavkoy/","catalog-product","/design-lab/v2/ulichnaya-mebel/besedki-i-pergoly/pergola-s-lavkoy/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/pergola-s-lavkoy.json","src/content/products/pergola-s-lavkoy.json image/gallery","/ulichnaya-mebel/besedki-i-pergoly/pergola-s-lavkoy/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/kacheli/","catalog-category","/design-lab/v2/ulichnaya-mebel/kacheli/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/kacheli.json","src/content/product-categories/kacheli.json image/gallery; child product media","/ulichnaya-mebel/kacheli/","dynamic-template","Catalog V2 data layer; active section and product associations","","ready"
"/ulichnaya-mebel/kacheli/kachel-duga/","catalog-product","/design-lab/v2/ulichnaya-mebel/kacheli/kachel-duga/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/kachel-duga.json","src/content/products/kachel-duga.json image/gallery","/ulichnaya-mebel/kacheli/kachel-duga/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/kacheli/kachel-patio/","catalog-product","/design-lab/v2/ulichnaya-mebel/kacheli/kachel-patio/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/kachel-patio.json","src/content/products/kachel-patio.json image/gallery","/ulichnaya-mebel/kacheli/kachel-patio/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/kacheli/kachel-portal/","catalog-product","/design-lab/v2/ulichnaya-mebel/kacheli/kachel-portal/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/kachel-portal.json","src/content/products/kachel-portal.json image/gallery","/ulichnaya-mebel/kacheli/kachel-portal/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/kacheli/kachel-s-navesom/","catalog-product","/design-lab/v2/ulichnaya-mebel/kacheli/kachel-s-navesom/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/kachel-s-navesom.json","src/content/products/kachel-s-navesom.json image/gallery","/ulichnaya-mebel/kacheli/kachel-s-navesom/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/kacheli/kacheli-pergola/","catalog-product","/design-lab/v2/ulichnaya-mebel/kacheli/kacheli-pergola/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/kacheli-pergola.json","src/content/products/kacheli-pergola.json image/gallery","/ulichnaya-mebel/kacheli/kacheli-pergola/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/kacheli/kacheli-s-dlinnym-navesom/","catalog-product","/design-lab/v2/ulichnaya-mebel/kacheli/kacheli-s-dlinnym-navesom/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/kacheli-s-dlinnym-navesom.json","src/content/products/kacheli-s-dlinnym-navesom.json image/gallery","/ulichnaya-mebel/kacheli/kacheli-s-dlinnym-navesom/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/","catalog-category","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/lavochki-i-skameyki.json","src/content/product-categories/lavochki-i-skameyki.json image/gallery; child product media","/ulichnaya-mebel/lavochki-i-skameyki/","dynamic-template","Catalog V2 data layer; active section and product associations","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/bolshaya-skameyka-amplituda/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/bolshaya-skameyka-amplituda/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/bolshaya-skameyka-amplituda.json","src/content/products/bolshaya-skameyka-amplituda.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/bolshaya-skameyka-amplituda/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-bulvar/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-bulvar/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/skamya-bulvar.json","src/content/products/skamya-bulvar.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/skamya-bulvar/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-kapsula/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-kapsula/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/skamya-kapsula.json","src/content/products/skamya-kapsula.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/skamya-kapsula/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-kontur/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-kontur/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/skamya-kontur.json","src/content/products/skamya-kontur.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/skamya-kontur/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya-so-spinkami/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya-so-spinkami/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/skamya-liniya-so-spinkami.json","src/content/products/skamya-liniya-so-spinkami.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya-so-spinkami/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/skamya-liniya.json","src/content/products/skamya-liniya.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-loft/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-loft/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/skamya-loft.json","src/content/products/skamya-loft.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/skamya-loft/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-park/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-park/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/skamya-park.json","src/content/products/skamya-park.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/skamya-park/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-plato/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-plato/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/skamya-plato.json","src/content/products/skamya-plato.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/skamya-plato/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-podium/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-podium/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/skamya-podium.json","src/content/products/skamya-podium.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/skamya-podium/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius-so-spinkami/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius-so-spinkami/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/skamya-radius-so-spinkami.json","src/content/products/skamya-radius-so-spinkami.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius-so-spinkami/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/skamya-radius.json","src/content/products/skamya-radius.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-reyka/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-reyka/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/skamya-reyka.json","src/content/products/skamya-reyka.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/skamya-reyka/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-skoba/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-skoba/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/skamya-skoba.json","src/content/products/skamya-skoba.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/skamya-skoba/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-smu1-bazovaya/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-smu1-bazovaya/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/skamya-smu1-bazovaya.json","src/content/products/skamya-smu1-bazovaya.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/skamya-smu1-bazovaya/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-volna/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-volna/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/skamya-volna.json","src/content/products/skamya-volna.json image/gallery","/ulichnaya-mebel/lavochki-i-skameyki/skamya-volna/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/malye-elementy/","catalog-category","/design-lab/v2/ulichnaya-mebel/malye-elementy/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/malye-elementy.json","src/content/product-categories/malye-elementy.json image/gallery; child product media","/ulichnaya-mebel/malye-elementy/","dynamic-template","Catalog V2 data layer; active section and product associations","","ready"
"/ulichnaya-mebel/malye-elementy/sidenie-kub/","catalog-product","/design-lab/v2/ulichnaya-mebel/malye-elementy/sidenie-kub/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/sidenie-kub.json","src/content/products/sidenie-kub.json image/gallery","/ulichnaya-mebel/malye-elementy/sidenie-kub/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/malye-elementy/sidenie-pilon/","catalog-product","/design-lab/v2/ulichnaya-mebel/malye-elementy/sidenie-pilon/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/sidenie-pilon.json","src/content/products/sidenie-pilon.json image/gallery","/ulichnaya-mebel/malye-elementy/sidenie-pilon/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/navesy/","catalog-category","/design-lab/v2/ulichnaya-mebel/navesy/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/navesy.json","src/content/product-categories/navesy.json image/gallery; child product media","/ulichnaya-mebel/navesy/","dynamic-template","Catalog V2 data layer; active section and product associations","","ready"
"/ulichnaya-mebel/navesy/ekran-s-navesom/","catalog-product","/design-lab/v2/ulichnaya-mebel/navesy/ekran-s-navesom/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/ekran-s-navesom.json","src/content/products/ekran-s-navesom.json image/gallery","/ulichnaya-mebel/navesy/ekran-s-navesom/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/navesy/naves-galereya/","catalog-product","/design-lab/v2/ulichnaya-mebel/navesy/naves-galereya/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/naves-galereya.json","src/content/products/naves-galereya.json image/gallery","/ulichnaya-mebel/navesy/naves-galereya/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/navesy/naves-terra/","catalog-product","/design-lab/v2/ulichnaya-mebel/navesy/naves-terra/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/naves-terra.json","src/content/products/naves-terra.json image/gallery","/ulichnaya-mebel/navesy/naves-terra/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/shezlongi/","catalog-category","/design-lab/v2/ulichnaya-mebel/shezlongi/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/shezlongi.json","src/content/product-categories/shezlongi.json image/gallery; child product media","/ulichnaya-mebel/shezlongi/","dynamic-template","Catalog V2 data layer; active section and product associations","","ready"
"/ulichnaya-mebel/shezlongi/shezlong-dyuna/","catalog-product","/design-lab/v2/ulichnaya-mebel/shezlongi/shezlong-dyuna/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/shezlong-dyuna.json","src/content/products/shezlong-dyuna.json image/gallery","/ulichnaya-mebel/shezlongi/shezlong-dyuna/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/shezlongi/shezlong-siluet/","catalog-product","/design-lab/v2/ulichnaya-mebel/shezlongi/shezlong-siluet/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/shezlong-siluet.json","src/content/products/shezlong-siluet.json image/gallery","/ulichnaya-mebel/shezlongi/shezlong-siluet/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/shezlongi/shezlong-vitok/","catalog-product","/design-lab/v2/ulichnaya-mebel/shezlongi/shezlong-vitok/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/shezlong-vitok.json","src/content/products/shezlong-vitok.json image/gallery","/ulichnaya-mebel/shezlongi/shezlong-vitok/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/shezlongi/shezlong-volna/","catalog-product","/design-lab/v2/ulichnaya-mebel/shezlongi/shezlong-volna/","CatalogProductV2 via [section]/[category]/[product]/index.astro","src/content/products/shezlong-volna.json","src/content/products/shezlong-volna.json image/gallery","/ulichnaya-mebel/shezlongi/shezlong-volna/","dynamic-template","Catalog V2 data layer; category association; related-product resolver","","ready"
"/ulichnaya-mebel/stoly-i-komplekty/","catalog-category","/design-lab/v2/ulichnaya-mebel/stoly-i-komplekty/","CatalogCategoryV2 via [section]/[category]/index.astro","src/content/product-categories/stoly-i-komplekty.json","src/content/product-categories/stoly-i-komplekty.json image/gallery; child product media","/ulichnaya-mebel/stoly-i-komplekty/","dynamic-template","Catalog V2 data layer; active section and product associations","","ready"
