production_route,page_type,v2_route_or_pattern,relationship,migration_action,canonical_or_target,blocking_status,notes
"/ulichnaya-mebel/kacheli/kachel-patio/","catalog-product","/design-lab/v2/ulichnaya-mebel/kacheli/kachel-patio/","full-v2-analog","dynamic-template","/ulichnaya-mebel/kacheli/kachel-patio/","ready",""
"/ulichnaya-mebel/kacheli/kachel-portal/","catalog-product","/design-lab/v2/ulichnaya-mebel/kacheli/kachel-portal/","full-v2-analog","dynamic-template","/ulichnaya-mebel/kacheli/kachel-portal/","ready",""
"/ulichnaya-mebel/kacheli/kachel-s-navesom/","catalog-product","/design-lab/v2/ulichnaya-mebel/kacheli/kachel-s-navesom/","full-v2-analog","dynamic-template","/ulichnaya-mebel/kacheli/kachel-s-navesom/","ready",""
"/ulichnaya-mebel/kacheli/kacheli-pergola/","catalog-product","/design-lab/v2/ulichnaya-mebel/kacheli/kacheli-pergola/","full-v2-analog","dynamic-template","/ulichnaya-mebel/kacheli/kacheli-pergola/","ready",""
"/ulichnaya-mebel/kacheli/kacheli-s-dlinnym-navesom/","catalog-product","/design-lab/v2/ulichnaya-mebel/kacheli/kacheli-s-dlinnym-navesom/","full-v2-analog","dynamic-template","/ulichnaya-mebel/kacheli/kacheli-s-dlinnym-navesom/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/","catalog-category","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/bolshaya-skameyka-amplituda/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/bolshaya-skameyka-amplituda/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/bolshaya-skameyka-amplituda/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-bulvar/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-bulvar/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/skamya-bulvar/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-kapsula/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-kapsula/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/skamya-kapsula/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-kontur/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-kontur/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/skamya-kontur/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya-so-spinkami/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya-so-spinkami/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya-so-spinkami/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-loft/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-loft/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/skamya-loft/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-park/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-park/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/skamya-park/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-plato/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-plato/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/skamya-plato/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-podium/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-podium/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/skamya-podium/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius-so-spinkami/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius-so-spinkami/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius-so-spinkami/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-reyka/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-reyka/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/skamya-reyka/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-skoba/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-skoba/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/skamya-skoba/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-smu1-bazovaya/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-smu1-bazovaya/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/skamya-smu1-bazovaya/","ready",""
"/ulichnaya-mebel/lavochki-i-skameyki/skamya-volna/","catalog-product","/design-lab/v2/ulichnaya-mebel/lavochki-i-skameyki/skamya-volna/","full-v2-analog","dynamic-template","/ulichnaya-mebel/lavochki-i-skameyki/skamya-volna/","ready",""
"/ulichnaya-mebel/malye-elementy/","catalog-category","/design-lab/v2/ulichnaya-mebel/malye-elementy/","full-v2-analog","dynamic-template","/ulichnaya-mebel/malye-elementy/","ready",""
"/ulichnaya-mebel/malye-elementy/sidenie-kub/","catalog-product","/design-lab/v2/ulichnaya-mebel/malye-elementy/sidenie-kub/","full-v2-analog","dynamic-template","/ulichnaya-mebel/malye-elementy/sidenie-kub/","ready",""
"/ulichnaya-mebel/malye-elementy/sidenie-pilon/","catalog-product","/design-lab/v2/ulichnaya-mebel/malye-elementy/sidenie-pilon/","full-v2-analog","dynamic-template","/ulichnaya-mebel/malye-elementy/sidenie-pilon/","ready",""
"/ulichnaya-mebel/navesy/","catalog-category","/design-lab/v2/ulichnaya-mebel/navesy/","full-v2-analog","dynamic-template","/ulichnaya-mebel/navesy/","ready",""
"/ulichnaya-mebel/navesy/ekran-s-navesom/","catalog-product","/design-lab/v2/ulichnaya-mebel/navesy/ekran-s-navesom/","full-v2-analog","dynamic-template","/ulichnaya-mebel/navesy/ekran-s-navesom/","ready",""
"/ulichnaya-mebel/navesy/naves-galereya/","catalog-product","/design-lab/v2/ulichnaya-mebel/navesy/naves-galereya/","full-v2-analog","dynamic-template","/ulichnaya-mebel/navesy/naves-galereya/","ready",""
"/ulichnaya-mebel/navesy/naves-terra/","catalog-product","/design-lab/v2/ulichnaya-mebel/navesy/naves-terra/","full-v2-analog","dynamic-template","/ulichnaya-mebel/navesy/naves-terra/","ready",""
"/ulichnaya-mebel/shezlongi/","catalog-category","/design-lab/v2/ulichnaya-mebel/shezlongi/","full-v2-analog","dynamic-template","/ulichnaya-mebel/shezlongi/","ready",""
"/ulichnaya-mebel/shezlongi/shezlong-dyuna/","catalog-product","/design-lab/v2/ulichnaya-mebel/shezlongi/shezlong-dyuna/","full-v2-analog","dynamic-template","/ulichnaya-mebel/shezlongi/shezlong-dyuna/","ready",""
"/ulichnaya-mebel/shezlongi/shezlong-siluet/","catalog-product","/design-lab/v2/ulichnaya-mebel/shezlongi/shezlong-siluet/","full-v2-analog","dynamic-template","/ulichnaya-mebel/shezlongi/shezlong-siluet/","ready",""
"/ulichnaya-mebel/shezlongi/shezlong-vitok/","catalog-product","/design-lab/v2/ulichnaya-mebel/shezlongi/shezlong-vitok/","full-v2-analog","dynamic-template","/ulichnaya-mebel/shezlongi/shezlong-vitok/","ready",""
"/ulichnaya-mebel/shezlongi/shezlong-volna/","catalog-product","/design-lab/v2/ulichnaya-mebel/shezlongi/shezlong-volna/","full-v2-analog","dynamic-template","/ulichnaya-mebel/shezlongi/shezlong-volna/","ready",""
"/ulichnaya-mebel/stoly-i-komplekty/","catalog-category","/design-lab/v2/ulichnaya-mebel/stoly-i-komplekty/","full-v2-analog","dynamic-template","/ulichnaya-mebel/stoly-i-komplekty/","ready",""
"/ulichnaya-mebel/stoly-i-komplekty/stol-so-skamyami-orbita/","catalog-product","/design-lab/v2/ulichnaya-mebel/stoly-i-komplekty/stol-so-skamyami-orbita/","full-v2-analog","dynamic-template","/ulichnaya-mebel/stoly-i-komplekty/stol-so-skamyami-orbita/","ready",""
"/ulichnaya-mebel/ulichnoe-osveshchenie/","catalog-category","/design-lab/v2/ulichnaya-mebel/ulichnoe-osveshchenie/","full-v2-analog","dynamic-template","/ulichnaya-mebel/ulichnoe-osveshchenie/","ready",""
"/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-liniya/","catalog-product","/design-lab/v2/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-liniya/","full-v2-analog","dynamic-template","/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-liniya/","ready",""
"/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-mayak/","catalog-product","/design-lab/v2/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-mayak/","full-v2-analog","dynamic-template","/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-mayak/","ready",""
"/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-prizma/","catalog-product","/design-lab/v2/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-prizma/","full-v2-analog","dynamic-template","/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-prizma/","ready",""
"/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-sektor/","catalog-product","/design-lab/v2/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-sektor/","full-v2-analog","dynamic-template","/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-sektor/","ready",""
"/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor-vysokiy/","catalog-product","/design-lab/v2/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor-vysokiy/","full-v2-analog","dynamic-template","/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor-vysokiy/","ready",""
"/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor/","catalog-product","/design-lab/v2/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor/","full-v2-analog","dynamic-template","/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor/","ready",""
"/ulichnaya-mebel/urny/","catalog-category","/design-lab/v2/ulichnaya-mebel/urny/","full-v2-analog","dynamic-template","/ulichnaya-mebel/urny/","ready",""
"/ulichnaya-mebel/urny/stantsiya-razdelnogo-sbora/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/stantsiya-razdelnogo-sbora/","full-v2-analog","dynamic-template","/ulichnaya-mebel/urny/stantsiya-razdelnogo-sbora/","ready",""
"/ulichnaya-mebel/urny/urna-blok/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-blok/","full-v2-analog","dynamic-template","/ulichnaya-mebel/urny/urna-blok/","ready",""
"/ulichnaya-mebel/urny/urna-ellips/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-ellips/","full-v2-analog","dynamic-template","/ulichnaya-mebel/urny/urna-ellips/","ready",""
"/ulichnaya-mebel/urny/urna-kolonna/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-kolonna/","full-v2-analog","dynamic-template","/ulichnaya-mebel/urny/urna-kolonna/","ready",""
"/ulichnaya-mebel/urny/urna-layn/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-layn/","full-v2-analog","dynamic-template","/ulichnaya-mebel/urny/urna-layn/","ready",""
"/ulichnaya-mebel/urny/urna-monolit/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-monolit/","full-v2-analog","dynamic-template","/ulichnaya-mebel/urny/urna-monolit/","ready",""
"/ulichnaya-mebel/urny/urna-panel/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-panel/","full-v2-analog","dynamic-template","/ulichnaya-mebel/urny/urna-panel/","ready",""
"/ulichnaya-mebel/urny/urna-profil/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-profil/","full-v2-analog","dynamic-template","/ulichnaya-mebel/urny/urna-profil/","ready",""
"/ulichnaya-mebel/urny/urna-slim/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-slim/","full-v2-analog","dynamic-template","/ulichnaya-mebel/urny/urna-slim/","ready",""
"/ulichnaya-mebel/urny/urna-vertikal/","catalog-product","/design-lab/v2/ulichnaya-mebel/urny/urna-vertikal/","full-v2-analog","dynamic-template","/ulichnaya-mebel/urny/urna-vertikal/","ready",""
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/","catalog-category","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/","full-v2-analog","dynamic-template","/ulichnaya-mebel/vazony-i-tsvetochnitsy/","ready",""
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-gorizont/","catalog-product","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-gorizont/","full-v2-analog","dynamic-template","/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-gorizont/","ready",""
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-koltso/","catalog-product","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-koltso/","full-v2-analog","dynamic-template","/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-koltso/","ready",""
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-kontur/","catalog-product","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-kontur/","full-v2-analog","dynamic-template","/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-kontur/","ready",""
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-lenta/","catalog-product","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-lenta/","full-v2-analog","dynamic-template","/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-lenta/","ready",""
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-oval/","catalog-product","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-oval/","full-v2-analog","dynamic-template","/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-oval/","ready",""
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-ritm/","catalog-product","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-ritm/","full-v2-analog","dynamic-template","/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-ritm/","ready",""
"/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-soft/","catalog-product","/design-lab/v2/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-soft/","full-v2-analog","dynamic-template","/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-soft/","ready",""
"/ulichnaya-mebel/veloparkovki/","catalog-category","/design-lab/v2/ulichnaya-mebel/veloparkovki/","full-v2-analog","dynamic-template","/ulichnaya-mebel/veloparkovki/","ready",""
"/ulichnaya-mebel/veloparkovki/parkovka-dlya-samokatov-arka/","catalog-product","/design-lab/v2/ulichnaya-mebel/veloparkovki/parkovka-dlya-samokatov-arka/","full-v2-analog","dynamic-template","/ulichnaya-mebel/veloparkovki/parkovka-dlya-samokatov-arka/","ready",""
"/ulichnaya-mebel/veloparkovki/veloparkovka-duga/","catalog-product","/design-lab/v2/ulichnaya-mebel/veloparkovki/veloparkovka-duga/","full-v2-analog","dynamic-template","/ulichnaya-mebel/veloparkovki/veloparkovka-duga/","ready",""
"/ulichnaya-mebel/veloparkovki/veloparkovka-marker/","catalog-product","/design-lab/v2/ulichnaya-mebel/veloparkovki/veloparkovka-marker/","full-v2-analog","dynamic-template","/ulichnaya-mebel/veloparkovki/veloparkovka-marker/","ready",""
"/ulichnaya-mebel/veloparkovki/veloparkovka-pik/","catalog-product","/design-lab/v2/ulichnaya-mebel/veloparkovki/veloparkovka-pik/","full-v2-analog","dynamic-template","/ulichnaya-mebel/veloparkovki/veloparkovka-pik/","ready",""
"/ulichnaya-mebel/veloparkovki/veloparkovka-pilon/","catalog-product","/design-lab/v2/ulichnaya-mebel/veloparkovki/veloparkovka-pilon/","full-v2-analog","dynamic-template","/ulichnaya-mebel/veloparkovki/veloparkovka-pilon/","ready",""
"/ulichnaya-mebel/veloparkovki/veloparkovka-ramka/","catalog-product","/design-lab/v2/ulichnaya-mebel/veloparkovki/veloparkovka-ramka/","full-v2-analog","dynamic-template","/ulichnaya-mebel/veloparkovki/veloparkovka-ramka/","ready",""
"/urny/","legacy-alias","(no V2 content duplicate)","redirect-only","redirect","/ulichnaya-mebel/urny/","blocked-routing","Current static output includes meta-refresh fallback"
"/vakansii/","vacancies-archive","/design-lab/v2/vakansii/","full-v2-analog","replace","/vakansii/","ready","Production vacancy detail URL remains an owner/architecture decision outside the 110-route manifest"
"/vypolnennye-obekty/","projects-archive","/design-lab/v2/vypolnennye-obekty/","full-v2-analog","replace","/vypolnennye-obekty/","ready","One active project is text-only; non-blocking"
"/vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/","project-detail","/design-lab/v2/vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/","full-v2-analog","replace","/vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/","ready",""
"/vypolnennye-obekty/gorodskie-kacheli-dlya-obshchestvennyh-territoriy/","project-detail","/design-lab/v2/vypolnennye-obekty/gorodskie-kacheli-dlya-obshchestvennyh-territoriy/","full-v2-analog","replace","/vypolnennye-obekty/gorodskie-kacheli-dlya-obshchestvennyh-territoriy/","ready",""
"/vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/","project-detail","/design-lab/v2/vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/","full-v2-analog","replace","/vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/","ready",""
"/vypolnennye-obekty/remont-skvera-na-ulitse-gogolya/","project-detail","/design-lab/v2/vypolnennye-obekty/remont-skvera-na-ulitse-gogolya/","full-v2-analog","replace","/vypolnennye-obekty/remont-skvera-na-ulitse-gogolya/","ready","No real public media; text-only state"
"(no production route)","vacancy-detail","/design-lab/v2/vakansii/svarshchik-metallokonstruktsiy/","additional-v2-owner-decision","owner-decision","/vakansii/ (temporary V2 canonical)","owner-decision","Approve whether a public production detail route exists, its URL pattern and canonical; do not count it among 110 production routes."
